module,sub_step,technique,key_params,formula,rationale
M3+,N 하드조건 역산,Binomial CDF inversion for N,k_min=30 | confidence=0.99 | extreme_quantile=0.98,"min N s.t. P(X >= 30) >= 0.99  where X ~ Binomial(N, p_rare)",직관 N 대신 '극단 충격을 0.99 확률로 30번 이상 뽑는 N'을 이항분포로 역산
M4,정의역 검사 [T1],Hard domain constraint,HARD_DOMAIN dict (변수 정의 상수),"lo <= x_t <= hi  (예: 금리 >= 0, 수급지수 in [0,200])",물리적·정의상 불가한 값 검출; '경제 가정'이 아닌 '변수 정의' → 상수로 두어도 정당
M4,급변 검사 [T2],Extreme change rate filter,realism_extreme_q=0.99,"|delta_x_t| > quantile(|delta_x_obs|, 0.99) → 위반 플래그",과거 월변화 상위 1.0% 초과 급변을 비현실 판정; 기준을 데이터에서 자동산출
M4,부호 일관성 [T3],VAR residual sign consistency,corr_threshold=0.2 | pair_min_corr=0.3,"sign(rowcorr(delta_a, delta_b)) != sign(M2 resid corr) & |corr|>thresh → 위반",M2가 추정한 변수쌍 인과 방향이 시나리오에서 어긋남 검출; 기준이 추정 결과 → 하드코딩 아님
M4,리포트 모드,Non-destructive flagging (report-only default),realism_mode=report,(기본) 경로 제거 없이 위반율 dict 만 반환,경로를 과도하게 버리면 시나리오 확률 비중 왜곡 (급락만 제거 → '급락없음' 편향)
M5,원단위 역변환,Cumulative sum inversion,(transform_log 의 last_level + diff 여부),level[t] = last_level + sum_{i=1}^{t} diff[i],M1 차분의 역연산; 마지막 실제값 기준으로 누적합해 실제 집값 단위 복원
M5,검증 채점,Coverage / Width / Rank scoring,(실제 미래값 존재 시 자동 계산),coverage=P(p10<=actual<=p90); width=mean(p90-p10); rank=mean(P(scen<actual)),포괄력(coverage) · 정보력(width) · 확률 정확도(rank) 3종 채점; 0.5 근처 rank가 이상적
M5,군집화,Tercile clustering (post-hoc),하락/보합/상승 = 최종수익률 하위/중간/상위 1/3,final_ret = level[-1]/level[0]-1; argsort → split into thirds,시나리오를 먼저 자유 생성 후 사후 분류 → 기존 사전정의 방식의 편향 제거
TFT,인코더,LSTM encoder (length=72),max_encoder_length=72 | hidden_size=96,"h_t = LSTM(embed(x_t), h_{t-1})",과거 72개월을 hidden state로 압축; 2020 boom + 2022 crash + 2023 회복 전체 포함
TFT,변수 선택 (VSN),Variable Selection Network (VSN),hidden_continuous_size=24,"alpha_j = softmax(GRN(x_j, c)); x_tilde = sum_j alpha_j * GRN_j(x_j)",시점마다 변수별 중요도를 soft-attention으로 동적 산출; backtest/future_vsn_weights.csv에 저장
TFT,어텐션,Multi-head self-attention (4 heads),attention_head_size=4 | hidden_size=96,"Attn(Q,K,V) = softmax(QK^T/sqrt(d_k))*V; 헤드 {ah}개 병렬 적용",decoder가 encoder의 관련 시점에 집중; head 수가 적을수록 해석 가능성 높음
TFT,손실함수,Quantile Loss (Pinball Loss),"quantiles=[0.1, 0.5, 0.9]","QL(q,y,yhat) = q*max(y-yhat,0) + (1-q)*max(yhat-y,0)",점추정 대신 예측 구간(p10/p50/p90)을 직접 학습; 불확실성 정량화
TFT,정규화,GroupNormalizer (center=True),groups=[dong] | transformation=None | center=True,x_norm = (x - mean_dong) / scale_dong,동별 평균 제거로 NN 수렴 안정화; log-return은 scale 이미 작으므로 transformation=None
TFT,학습 가중치,Recency exponential weighting,recency_halflife_months=36,w(t) = 0.5^((t_max - t) / 36),반감기 36개월; 최근 regime 주세 학습 + 과거 데이터도 일부 반영
TFT,잔차 보정,Hybrid VAR+TFT residual boosting,residual_mode=True,pred_final = VAR_baseline_logret + TFT(target_logret - VAR_baseline_logret),VAR 이 못 잡는 동별 이질성·비선형·정책 충격을 TFT가 잔차로 학습; boosted ensemble
TFT,옵티마이저,AdamW + EarlyStopping,lr=0.001 | gradient_clip=0.035 | early_stop_patience=3,theta_{t+1} = theta_t - lr*(m_t/(sqrt(v_t)+eps) + lambda*theta_t),원논문 TFT 표 4 기준; gradient clip=0.1으로 exploding gradient 방지
